Customer,Date,Product price,Product weight,Gender,Location,Branch/Locker
RND239656,07-03-2023 4:00:00,1100.0,0.2,F,Yerevan,G-Location 1
RND239657,07-03-2023 4:00:00,2100.0,0.3,M,Yerevan,G-Location 1
RND239658,07-03-2023 4:00:00,600.0,0.1,F,Yerevan,G-Location 1
RND239659,07-03-2023 4:00:00,4400.0,0.8,F,Yerevan,G-Location 1
RND239660,07-03-2023 4:00:00,3300.0,0.6,F,Yerevan,G-Location 2
RND239661,07-03-2023 4:00:00,67200.0,9.6,M,Yerevan,G-Location 5
RND239662,07-03-2023 4:00:00,3600.0,0.6,F,Yerevan,G-Location 3
RND239663,07-03-2023 4:00:00,1400.0,0.2,F,Yerevan,G-Location 3
RND239664,07-03-2023 4:00:00,5600.0,0.8,M,Yerevan,G-Location 1
RND239665,07-03-2023 4:00:00,11400.0,1.9,M,Yerevan,G-Location 1
RND239666,07-03-2023 4:00:00,1400.0,0.2,F,Yerevan,G-Location 2
RND239667,07-03-2023 4:00:00,18200.0,2.6,F,Yerevan,G-Location 1
RND239668,07-03-2023 4:00:00,1800.0,0.3,F,Yerevan,G-Location 1
RND239669,07-03-2023 4:00:00,3000.0,0.5,M,Yerevan,G-Location 2
RND239670,07-03-2023 4:00:00,3500.0,0.5,F,Yerevan,G-Location 1
RND239671,07-03-2023 4:00:00,5400.0,0.9,M,Yerevan,G-Location 1
RND239672,07-03-2023 4:00:00,8400.0,1.2,F,Yerevan,G-Location 2
RND239673,07-03-2023 4:00:00,700.0,0.1,M,Yerevan,G-Location 2
RND239674,07-03-2023 4:00:00,15600.0,2.6,M,Yerevan,G-Location 1
RND239675,07-03-2023 4:00:00,6300.0,0.9,F,Yerevan,G-Location 2
RND239676,07-03-2023 4:00:00,1100.0,0.2,F,Yerevan,G-Location 2
RND239677,07-03-2023 4:00:00,5600.0,0.8,M,Yerevan,G-Location 2
RND239678,07-03-2023 4:00:00,2100.0,0.3,M,Yerevan,G-Location 2
RND239679,07-03-2023 4:00:00,9000.0,1.5,F,Yerevan,G-Location 2
RND239680,07-03-2023 4:00:00,1400.0,0.2,F,Yerevan,G-Location 4
RND239681,07-03-2023 4:00:00,3600.0,0.6,M,Yerevan,G-Location 2
RND239682,07-03-2023 4:00:00,1100.0,0.2,F,Yerevan,G-Location 2
RND239683,07-03-2023 4:00:00,1100.0,0.2,M,Yerevan,G-Location 1
RND239684,07-03-2023 4:00:00,550.0,0.1,F,Yerevan,G-Location 2
RND239685,07-03-2023 4:00:00,16800.0,2.8,M,Yerevan,G-Location 1
RND239686,07-03-2023 4:00:00,19600.0,2.8,M,Yerevan,G-Location 1
RND239687,07-03-2023 4:00:00,7699.999999999999,1.4,F,Yerevan,G-Location 2
RND239688,07-03-2023 4:00:00,7000.0,1.0,M,Yerevan,G-Location 1
RND239689,07-03-2023 4:00:00,4200.0,0.6,M,Yerevan,G-Location 2
RND239690,07-03-2023 4:00:00,9800.0,1.4,F,Yerevan,G-Location 4
RND239691,07-03-2023 4:00:00,5600.0,0.8,M,Yerevan,G-Location 1
RND239692,07-03-2023 4:00:00,3849.9999999999995,0.7,M,Yerevan,G-Location 4
RND239693,07-03-2023 4:00:00,1100.0,0.2,M,Yerevan,G-Location 3
RND239694,07-03-2023 4:00:00,3849.9999999999995,0.7,F,Yerevan,G-Location 3
RND239695,07-03-2023 4:00:00,7700.000000000001,1.1,F,Yerevan,G-Location 1
RND239696,07-03-2023 4:00:00,5500.0,1.0,M,Yerevan,G-Location 2
RND239697,07-03-2023 4:00:00,5600.0,0.8,F,Yerevan,G-Location 3
RND239698,07-03-2023 4:00:00,4200.0,0.6,F,Yerevan,G-Location 3
RND239699,07-03-2023 4:00:00,6600.000000000001,1.1,M,Yerevan,G-Location 1
RND239700,07-03-2023 4:00:00,4400.0,0.8,M,Yerevan,G-Location 1
RND239701,07-03-2023 4:00:00,4800.0,0.8,F,Yerevan,G-Location 2
RND239702,07-03-2023 4:00:00,4900.0,0.7,F,Yerevan,G-Location 4
RND239703,07-03-2023 4:00:00,5400.0,0.9,M,Yerevan,G-Location 1
RND239704,07-03-2023 4:00:00,12000.0,2.0,M,Yerevan,G-Location 2
RND239705,07-03-2023 4:00:00,5600.0,0.8,M,Yerevan,G-Location 2
RND239706,07-03-2023 4:00:00,4400.0,0.8,F,Yerevan,G-Location 1
RND239707,07-03-2023 4:00:00,5400.0,0.9,F,Yerevan,G-Location 2
RND239708,07-03-2023 4:00:00,4900.0,0.7,F,Yerevan,G-Location 1
